colour	y	x	fill
#F8766D	0.620211073137389	0.348779638490165	#F8766D
#7CAE00	0.625367594310451	0.338961099718994	#7CAE00
#00BFC4	0.624270471478635	0.340304603861747	#00BFC4
#C77CFF	0.639204155844156	0.368101818181818	#C77CFF
