colour	y	x	fill
#F8766D	0.445324474025974	0.488738795454545	#F8766D
#A3A500	0.7048105	0.390706310606061	#A3A500
#A3A500	0.526937149350649	0.486990916666667	#A3A500
#A3A500	0.648702785714286	0.492253734848485	#A3A500
#A3A500	0.549566779220779	0.238620977272727	#A3A500
#A3A500	0.537650214285714	0.546561507575758	#A3A500
#A3A500	0.480356051948052	0.242477765151515	#A3A500
#A3A500	0.576428181818182	0.304351083333333	#A3A500
#A3A500	0.438956727272727	0.539704166666667	#A3A500
#A3A500	0.567430331168831	0.497293007575758	#A3A500
#A3A500	0.481281441558442	0.335777454545455	#A3A500
#A3A500	0.523542201298701	0.445893636363636	#A3A500
#A3A500	0.528026357142857	0.317973136363636	#A3A500
#A3A500	0.487945883116883	0.497541537878788	#A3A500
#A3A500	0.4448245	0.351565742424242	#A3A500
#A3A500	0.47235951948052	0.1841395	#A3A500
#A3A500	0.529394272727273	0.328306166666667	#A3A500
#A3A500	0.657059181818182	0.380942606060606	#A3A500
#A3A500	0.576884305194805	0.394164515151515	#A3A500
#A3A500	0.477801928571429	0.428754166666667	#A3A500
#A3A500	0.622562071428571	0.546171727272727	#A3A500
#A3A500	0.484931402597403	0.309161992424242	#A3A500
#A3A500	0.663343285714286	0.480387446969697	#A3A500
#A3A500	0.631776506493506	0.391356954545455	#A3A500
#A3A500	0.428625993506494	0.589817378787879	#A3A500
#A3A500	0.484801363636364	0.476326871212121	#A3A500
#A3A500	0.437171733766234	0.479671598484848	#A3A500
#A3A500	0.521472928571429	0.529960909090909	#A3A500
#A3A500	0.528006090909091	0.356779257575758	#A3A500
#A3A500	0.423626357142857	0.337093924242424	#A3A500
#A3A500	0.551851688311688	0.483693272727273	#A3A500
#A3A500	0.448972551948052	0.341489492424242	#A3A500
#A3A500	0.528798733766234	0.596041196969697	#A3A500
#A3A500	0.45583112987013	0.494324333333333	#A3A500
#A3A500	0.706144324675325	0.493645742424242	#A3A500
#A3A500	0.558313006493507	0.254637893939394	#A3A500
#A3A500	0.516795116883117	0.501933803030303	#A3A500
#A3A500	0.562043746753247	0.21774978030303	#A3A500
#A3A500	0.452419987012987	0.479402962121212	#A3A500
#A3A500	0.500395928571429	0.516288174242424	#A3A500
#A3A500	0.526911727272727	0.52138496969697	#A3A500
#A3A500	0.633135084415584	0.595071363636364	#A3A500
#A3A500	0.590706363636364	0.546851909090909	#A3A500
#A3A500	0.572665357142857	0.228828712121212	#A3A500
#A3A500	0.510476551948052	0.53219071969697	#A3A500
#A3A500	0.528249538961039	0.370363545454545	#A3A500
#A3A500	0.572123701298701	0.514556022727273	#A3A500
#A3A500	0.498545480519481	0.329449893939394	#A3A500
#A3A500	0.772204545454546	0.456115522727273	#A3A500
#A3A500	0.340868603896104	0.398590265151515	#A3A500
#A3A500	0.60686112987013	0.283258575757576	#A3A500
#A3A500	0.449324207792208	0.426496909090909	#A3A500
#A3A500	0.526635941558442	0.547143946969697	#A3A500
#A3A500	0.612369863636364	0.283840727272727	#A3A500
#A3A500	0.566289162337662	0.329552401515151	#A3A500
#A3A500	0.497347902597403	0.33759425	#A3A500
#A3A500	0.463519616883117	0.577384333333333	#A3A500
#A3A500	0.60019112987013	0.435923477272727	#A3A500
#00BF7D	0.627557883116883	0.438604924242424	#00BF7D
#00BF7D	0.477488675324675	0.444245	#00BF7D
#00BF7D	0.523551616883117	0.399749477272727	#00BF7D
#00BF7D	0.447671350649351	0.561010878787879	#00BF7D
#00BF7D	0.592065285714286	0.357077765151515	#00BF7D
#00BF7D	0.513267279220779	0.315336454545455	#00BF7D
#00BF7D	0.596534097402597	0.336612962121212	#00BF7D
#00BF7D	0.590347928571429	0.480624575757576	#00BF7D
#00BF7D	0.556600844155844	0.416063628787879	#00BF7D
#00BF7D	0.551671162337662	0.256852818181818	#00BF7D
#00BF7D	0.632383493506493	0.460811840909091	#00BF7D
#00BF7D	0.536798	0.51055918939394	#00BF7D
#00BF7D	0.541801383116883	0.555031984848485	#00BF7D
#00BF7D	0.49618575974026	0.459940893939394	#00BF7D
