colour	x	y	fill
#619CFF	0.497154116521975	0.466112704378033	#619CFF
#00BFC4	0.419712161098265	0.43270606552953	#00BFC4
#00BFC4	0.415998996514179	0.45049954311064	#00BFC4
#F8766D	0.592774085639108	0.532774000582419	#F8766D
#619CFF	0.57818549031492	0.467888536863002	#619CFF
#619CFF	0.514988524445902	0.47527320616082	#619CFF
#00BA38	0.490936448607638	0.464077367790021	#00BA38
#00BFC4	0.468101401150998	0.369189450406715	#00BFC4
#F8766D	0.613019965848281	0.520775612715667	#F8766D
#00BA38	0.529332001444731	0.487897840986695	#00BA38
#B79F00	0.606624775555938	0.561760289669154	#B79F00
#F8766D	0.500880620410605	0.567103354367749	#F8766D
#00BA38	0.474501259689013	0.547605595639636	#00BA38
#F8766D	0.555688311609078	0.556598756585903	#F8766D
#00BA38	0.434504325217769	0.526712884386677	#00BA38
#00BFC4	0.353038177723283	0.397946294110543	#00BFC4
#619CFF	0.568023659970577	0.477646909626687	#619CFF
#F8766D	0.569228053495379	0.522551017721978	#F8766D
#619CFF	0.495245891931299	0.490603585569751	#619CFF
#F8766D	0.531469506008784	0.560728022215025	#F8766D
#F8766D	0.608394690906243	0.600149709827896	#F8766D
#00BFC4	0.431487827642285	0.470885128333229	#00BFC4
#00BA38	0.489390443266295	0.426250655829695	#00BA38
#00BA38	0.431797459398567	0.478796900211528	#00BA38
#F8766D	0.472541965042938	0.556979092481969	#F8766D
#F8766D	0.589339854481278	0.518771888635706	#F8766D
#00BFC4	0.440074900120222	0.423133401603297	#00BFC4
#619CFF	0.573189367315771	0.469489114174608	#619CFF
#00BFC4	0.39297648749441	0.435756910119917	#00BFC4
#00BA38	0.436732573157194	0.499204209401623	#00BA38
#00BFC4	0.498373131656343	0.445426204231709	#00BFC4
#619CFF	0.488365458765623	0.496418438094891	#619CFF
#619CFF	0.596287724681992	0.507999076429445	#619CFF
#00BA38	0.547682385048107	0.492739954586877	#00BA38
#F8766D	0.54338713122399	0.543098008945951	#F8766D
#619CFF	0.550818582348486	0.488934914115357	#619CFF
#00BA38	0.428086668918829	0.472004206463946	#00BA38
#619CFF	0.503324280391207	0.493146724735915	#619CFF
#00BFC4	0.445364284660167	0.398189723458968	#00BFC4
#00BFC4	0.416645391550031	0.411394481286464	#00BFC4
#F8766D	0.495548497670517	0.555535536049849	#F8766D
#F8766D	0.595521215225835	0.552675872323597	#F8766D
#F8766D	0.666373614484259	0.573644244609802	#F8766D
#619CFF	0.501297410669888	0.44623175831002	#619CFF
#00BA38	0.511614117094342	0.477221401747516	#00BA38
#00BA38	0.42826499657969	0.446783721924091	#00BA38
#00BA38	0.449587618884906	0.504958627753689	#00BA38
#619CFF	0.608855798623218	0.492900099485466	#619CFF
#619CFF	0.505719866176478	0.525417236305021	#619CFF
#00BFC4	0.398062040255741	0.459703643657148	#00BFC4
#00BFC4	0.465964908930111	0.406028432604052	#00BFC4
#00BA38	0.482625013000656	0.464566103536642	#00BA38
#00BA38	0.448536128359371	0.50862336331833	#00BA38
#00BFC4	0.424689864580773	0.408882258649099	#00BFC4
#F8766D	0.631401959796576	0.585882470922745	#F8766D
#00BFC4	0.422857820339951	0.409751913760314	#00BFC4
#00BFC4	0.452720087298311	0.443962960946404	#00BFC4
#B79F00	0.632671651163047	0.565244671837625	#B79F00
#00BFC4	0.442643249638744	0.442060052704881	#00BFC4
#00BA38	0.3810286685368	0.537356215079349	#00BA38
#F8766D	0.571152706885589	0.540442031132552	#F8766D
#00BA38	0.407975583323574	0.423967273910375	#00BA38
#00BFC4	0.603919164191092	0.50650932293357	#00BFC4
#B79F00	0.646853108896607	0.571887425281583	#B79F00
#00BFC4	0.495270200178745	0.485395662879748	#00BFC4
#00BA38	0.483277051420279	0.463703818698213	#00BA38
#F8766D	0.617591201643868	0.576270624746654	#F8766D
#F8766D	0.582678966503104	0.56989428572142	#F8766D
#619CFF	0.434801167169275	0.479817797356964	#619CFF
#619CFF	0.583392197690391	0.41889294650392	#619CFF
#00BFC4	0.466251075433741	0.409082298898454	#00BFC4
#619CFF	0.68719468285949	0.446843268798246	#619CFF
#00BA38	0.487056868628657	0.46214523160115	#00BA38
#619CFF	0.559544955537852	0.448979670293822	#619CFF
#00BFC4	0.445744003636247	0.499050210226152	#00BFC4
#F8766D	0.576587830367531	0.559840952300605	#F8766D
#00BFC4	0.419331059488891	0.427108534349893	#00BFC4
#00BFC4	0.471281919144914	0.430336612392022	#00BFC4
#F8766D	0.518064569172455	0.554236630242034	#F8766D
#F8766D	0.523829254164764	0.550257830635607	#F8766D
#F8766D	0.643817925585338	0.520517989737072	#F8766D
#619CFF	0.499245900697722	0.451913269918744	#619CFF
#F8766D	0.596040449748648	0.591690242872025	#F8766D
#F8766D	0.604644929400062	0.456492582285251	#F8766D
#619CFF	0.527523546824865	0.484045418306224	#619CFF
#00BA38	0.440616058350079	0.462029831207009	#00BA38
#00BFC4	0.42763209306735	0.418053174691503	#00BFC4
#00BA38	0.525063440408464	0.527957990910482	#00BA38
#619CFF	0.506685890737785	0.468225697399328	#619CFF
#B79F00	0.630215204613517	0.635724659302975	#B79F00
#B79F00	0.705430363751199	0.632000229023659	#B79F00
#00BA38	0.627829388664996	0.446593885183217	#00BA38
#619CFF	0.484241171920844	0.444956318725945	#619CFF
#00BFC4	0.452334147588025	0.417922181782664	#00BFC4
#F8766D	0.586215334535886	0.562800949625374	#F8766D
#00BFC4	0.348428858301325	0.454514201478802	#00BFC4
#619CFF	0.566190820882954	0.480213225319665	#619CFF
#F8766D	0.617666518126818	0.52372284777324	#F8766D
#00BFC4	0.477542708646634	0.464455939147037	#00BFC4
#F8766D	0.555805640465473	0.572882348131154	#F8766D
#00BFC4	0.442094153376929	0.439626418502195	#00BFC4
#00BFC4	0.43887138089838	0.426652033984325	#00BFC4
#F8766D	0.513681741498905	0.548972502510984	#F8766D
#00BFC4	0.50962997513711	0.447321742200445	#00BFC4
#00BFC4	0.479440669248994	0.492644856992899	#00BFC4
#00BFC4	0.4724570868652	0.409885994135131	#00BFC4
#619CFF	0.515270589111372	0.445060141998088	#619CFF
#619CFF	0.472129263524699	0.510613006278843	#619CFF
#F8766D	0.512636678767886	0.569687164896205	#F8766D
#00BFC4	0.415740434813296	0.457705155581725	#00BFC4
#00BA38	0.518799471519538	0.500625306482514	#00BA38
#00BFC4	0.444860300702844	0.407681414389818	#00BFC4
#F8766D	0.562127359751556	0.534874387326389	#F8766D
#00BFC4	0.429989388165941	0.47051697123583	#00BFC4
#619CFF	0.561661587024755	0.474053392223938	#619CFF
#00BFC4	0.503731611945032	0.44275445671741	#00BFC4
#F8766D	0.588274125733418	0.583599726146736	#F8766D
#00BFC4	0.374099401379869	0.442221088977065	#00BFC4
#619CFF	0.490146757754239	0.464876870447797	#619CFF
#619CFF	0.580440500062298	0.460705168917333	#619CFF
#F8766D	0.650735660627697	0.604841491112437	#F8766D
#00BFC4	0.406133607097837	0.430128172714554	#00BFC4
#F8766D	0.582842986921538	0.575213691653279	#F8766D
#00BA38	0.6041453929562	0.522689054653553	#00BA38
#00BA38	0.468377649341613	0.448360966719013	#00BA38
#F8766D	0.612823287690881	0.554396079161371	#F8766D
#619CFF	0.584336115017516	0.489950516420315	#619CFF
#00BFC4	0.391490686110731	0.358122782656247	#00BFC4
#B79F00	0.668130618897332	0.618137005977644	#B79F00
#F8766D	0.516034913887226	0.529176989431366	#F8766D
#00BFC4	0.390770633305635	0.477005511764988	#00BFC4
#619CFF	0.512848379558355	0.453710746338944	#619CFF
#619CFF	0.543476744513313	0.440514151917417	#619CFF
#B79F00	0.637831794580629	0.568963500457879	#B79F00
#F8766D	0.581416027734343	0.592027483440624	#F8766D
#00BFC4	0.405272024495728	0.411014880774121	#00BFC4
#F8766D	0.561907963040314	0.570309455298572	#F8766D
#00BA38	0.506613950841082	0.456682070493257	#00BA38
#F8766D	0.644374970315168	0.50598501812214	#F8766D
#00BFC4	0.383670596368407	0.426385797838288	#00BFC4
#00BFC4	0.401352896139866	0.38528079537938	#00BFC4
#00BFC4	0.430131277817024	0.384084683688382	#00BFC4
#00BFC4	0.356073879226154	0.454804429567649	#00BFC4
#619CFF	0.587820148104488	0.455578588951913	#619CFF
#00BA38	0.37121872443337	0.506853582253896	#00BA38
#F8766D	0.583406390425781	0.547107435384252	#F8766D
#00BFC4	0.368307553556101	0.442639925414047	#00BFC4
#00BA38	0.432695988340787	0.415436299095687	#00BA38
#619CFF	0.532170099103403	0.486992653363796	#619CFF
#00BA38	0.47480152637476	0.4282499370383	#00BA38
#00BA38	0.51171381084484	0.450088913558774	#00BA38
#00BA38	0.505938723824008	0.445501089253431	#00BA38
#619CFF	0.55922507022931	0.513243887036509	#619CFF
#00BFC4	0.448571091182582	0.414474108137401	#00BFC4
#F8766D	0.522169258266551	0.589599686919144	#F8766D
#F8766D	0.567777179884035	0.559641415487506	#F8766D
#B79F00	0.641583792150955	0.626788033722482	#B79F00
#619CFF	0.613145958563333	0.468276536803457	#619CFF
#00BA38	0.411770388114144	0.548926515111883	#00BA38
#00BFC4	0.523593546396872	0.43588684139498	#00BFC4
#00BFC4	0.397074807378037	0.465197061867715	#00BFC4
#00BFC4	0.482688475801686	0.46809144676433	#00BFC4
#00BFC4	0.428495717770406	0.459968850647859	#00BFC4
#00BFC4	0.40734029527083	0.400326708423072	#00BFC4
#00BA38	0.521526139488675	0.475501564638941	#00BA38
#00BFC4	0.351104124211662	0.461661630630462	#00BFC4
#00BA38	0.490660673696477	0.450093935823983	#00BA38
#00BFC4	0.483022080566164	0.466853634555715	#00BFC4
#B79F00	0.63714545014439	0.601031956946125	#B79F00
#00BA38	0.432188099169559	0.464034504410022	#00BA38
#619CFF	0.603279843320293	0.480225038463808	#619CFF
#F8766D	0.499200456389828	0.487376500129822	#F8766D
#B79F00	0.645968092350013	0.606404796507471	#B79F00
#00BFC4	0.499717226916079	0.481361451365456	#00BFC4
#619CFF	0.506920538014517	0.481296690906425	#619CFF
#00BFC4	0.484191684358839	0.458279640371158	#00BFC4
#00BFC4	0.443168431476409	0.46477029288575	#00BFC4
#F8766D	0.544427562914407	0.593809733000652	#F8766D
#619CFF	0.567644079034703	0.438032845808852	#619CFF
#00BFC4	0.447231246237267	0.492548403993543	#00BFC4
#B79F00	0.645479131025759	0.533540535326766	#B79F00
#B79F00	0.7052615638159	0.617364596998966	#B79F00
#619CFF	0.631504359654827	0.486775256060695	#619CFF
#00BA38	0.425916181812617	0.453668425799673	#00BA38
#00BFC4	0.417429193672627	0.438026130887516	#00BFC4
#00BFC4	0.411109927947052	0.501567321421669	#00BFC4
#00BFC4	0.447298545232098	0.426344021363073	#00BFC4
#00BA38	0.440615989329975	0.431406619732334	#00BA38
#00BFC4	0.504852592042607	0.476430335070979	#00BFC4
#619CFF	0.545082905664328	0.446902616066536	#619CFF
#00BFC4	0.539467197585272	0.499564394549566	#00BFC4
#619CFF	0.502068426223556	0.469386765744588	#619CFF
#619CFF	0.479322887985256	0.450165560268199	#619CFF
#00BFC4	0.496165549733759	0.428821704090955	#00BFC4
#619CFF	0.622403557997638	0.472508966278597	#619CFF
#B79F00	0.651085428547349	0.542988917190821	#B79F00
#00BFC4	0.467254205247476	0.369655669052648	#00BFC4
#F8766D	0.512062078388318	0.590923457835224	#F8766D
#00BFC4	0.444503645381121	0.458122383469528	#00BFC4
#619CFF	0.504513029527223	0.474476088063747	#619CFF
#F8766D	0.560673963559601	0.515808343887853	#F8766D
#F8766D	0.572258916897337	0.558965905194981	#F8766D
#00BA38	0.533764651919534	0.483780308469442	#00BA38
#B79F00	0.719290913396994	0.573741846201229	#B79F00
#F8766D	0.563125063677886	0.568570804502266	#F8766D
#B79F00	0.674229693064864	0.591727543997434	#B79F00
#00BFC4	0.452669411066209	0.443914259885199	#00BFC4
#00BA38	0.505851678602231	0.414863796659309	#00BA38
#00BFC4	0.408488438199864	0.437562549946086	#00BFC4
#619CFF	0.486397213744422	0.432585566912582	#619CFF
#F8766D	0.561243794858359	0.504752014439405	#F8766D
#619CFF	0.484847372209277	0.464488580810415	#619CFF
#619CFF	0.572030096531515	0.45600652079626	#619CFF
#00BFC4	0.431067108635927	0.410862436473047	#00BFC4
#00BFC4	0.442464921977882	0.467280537244736	#00BFC4
#B79F00	0.678950110172955	0.606766746194465	#B79F00
#619CFF	0.500292691162551	0.489051709319349	#619CFF
#00BA38	0.467266680685112	0.459513245730561	#00BA38
#00BA38	0.431016110836479	0.477698480339865	#00BA38
#F8766D	0.41978411466687	0.515076098760535	#F8766D
#00BFC4	0.449644180611965	0.426245959814538	#00BFC4
#F8766D	0.612626157126137	0.561820840427627	#F8766D
#00BFC4	0.490143567930978	0.452167323191438	#00BFC4
#F8766D	0.536513851679527	0.533642916235235	#F8766D
#00BFC4	0.454529011961785	0.461673251231608	#00BFC4
#00BA38	0.460061524109982	0.509149067014285	#00BA38
#619CFF	0.50439736982059	0.504918576413053	#619CFF
#F8766D	0.542957806943021	0.562985006434499	#F8766D
#00BA38	0.51631379916549	0.505750567595682	#00BA38
#B79F00	0.72799226294827	0.59081058670954	#B79F00
#F8766D	0.516303072333774	0.512738471870407	#F8766D
#00BFC4	0.454948404257839	0.447077497436023	#00BFC4
#619CFF	0.588824141785127	0.44507850999902	#619CFF
#00BA38	0.441822756959127	0.451724556498933	#00BA38
#F8766D	0.510057916784785	0.522697700299444	#F8766D
#00BA38	0.523078365564224	0.438508568995823	#00BA38
#00BFC4	0.328026895705679	0.424730388012669	#00BFC4
#619CFF	0.58067600076988	0.483206523733937	#619CFF
#00BA38	0.530217156031531	0.514626892710156	#00BA38
#619CFF	0.566190820882954	0.480213225319665	#619CFF
#619CFF	0.62184578744111	0.519361809949966	#619CFF
#00BA38	0.453298271324437	0.450504898551922	#00BA38
#00BFC4	0.438901723117045	0.423425354826722	#00BFC4
#00BFC4	0.47898100274936	0.515758533639049	#00BFC4
#00BA38	0.479552689960868	0.474627332949314	#00BA38
#619CFF	0.524918102489971	0.466850047728158	#619CFF
#F8766D	0.587616464802136	0.585211613166229	#F8766D
#619CFF	0.609809116071755	0.482351319471369	#619CFF
#00BFC4	0.437426071214646	0.451865807677519	#00BFC4
#619CFF	0.547543474924129	0.448681938225132	#619CFF
#00BA38	0.432639022354375	0.459584094163252	#00BA38
#F8766D	0.594775783246077	0.555970338805404	#F8766D
#00BA38	0.397538195564434	0.531108038715453	#00BA38
#00BA38	0.518531714096495	0.500298480173532	#00BA38
#B79F00	0.662971270326551	0.612721516775628	#B79F00
#00BA38	0.489427686558931	0.505261987838932	#00BA38
#619CFF	0.485329826282855	0.47018351411246	#619CFF
#00BFC4	0.429009101849141	0.368870809786517	#00BFC4
#619CFF	0.536836650156131	0.489273607243264	#619CFF
#619CFF	0.600022360565776	0.46389195272417	#619CFF
#F8766D	0.540299232815517	0.52020770506584	#F8766D
#619CFF	0.582292484493261	0.448042210736745	#619CFF
#00BA38	0.531006373605477	0.448639305706119	#00BA38
#00BA38	0.478685954890709	0.470121510794679	#00BA38
#00BFC4	0.420254034718763	0.419786433493399	#00BFC4
#F8766D	0.539060671314304	0.567756191569716	#F8766D
#00BFC4	0.421527444536151	0.43684307116064	#00BFC4
#00BFC4	0.428759500959441	0.468778979865651	#00BFC4
#00BA38	0.584154794732435	0.445156692151373	#00BA38
#00BA38	0.423819559535959	0.447424612274859	#00BA38
#00BFC4	0.462230674069833	0.433370212439385	#00BFC4
#F8766D	0.574869061292938	0.535358100807801	#F8766D
#F8766D	0.576696405473053	0.575291620661831	#F8766D
#619CFF	0.505074048491061	0.451459813540005	#619CFF
#00BFC4	0.467576761612889	0.442290506046781	#00BFC4
#00BFC4	0.484710839425495	0.447174609861506	#00BFC4
#619CFF	0.628513113649853	0.504785529268237	#619CFF
#619CFF	0.511752239571727	0.491142051532902	#619CFF
#00BFC4	0.458532407175723	0.508065927677578	#00BFC4
#00BA38	0.437896533566099	0.452387438231318	#00BA38
#F8766D	0.688775408912858	0.507524871563745	#F8766D
#00BA38	0.464432301477358	0.49811287010582	#00BA38
#F8766D	0.506733124599382	0.553072807606871	#F8766D
#00BFC4	0.435877750353001	0.449752288937153	#00BFC4
#F8766D	0.568212942395575	0.576300534402943	#F8766D
#00BFC4	0.553733962370744	0.459495149218415	#00BFC4
#00BFC4	0.391654844569371	0.424688611537455	#00BFC4
#00BA38	0.52181058869455	0.440198518730924	#00BA38
#F8766D	0.62207770773798	0.565415150963558	#F8766D
#00BA38	0.491047339233461	0.443814842931286	#00BA38
#00BA38	0.508342983903992	0.428485122948482	#00BA38
#619CFF	0.547868405393893	0.496730603890572	#619CFF
#B79F00	0.642145536941491	0.571451887142304	#B79F00
#F8766D	0.546328564863766	0.553965585570117	#F8766D
#619CFF	0.535891153571458	0.441105548073799	#619CFF
#00BA38	0.523141033518453	0.443730572805273	#00BA38
#00BFC4	0.556248466706011	0.504655931169249	#00BFC4
#00BFC4	0.523127922146332	0.455808458825284	#00BFC4
#B79F00	0.635874562907613	0.640131760482948	#B79F00
#619CFF	0.484907517582894	0.413554143415802	#619CFF
#619CFF	0.570866851513252	0.451007230326722	#619CFF
#F8766D	0.587737757456482	0.573515712219265	#F8766D
#619CFF	0.466927971600576	0.466989360032836	#619CFF
