colour	x	y	fill
#619CFF	0.521667894667578	0.574137897827557	#619CFF
#00BFC4	0.505076542037271	0.589286823188193	#00BFC4
#00BFC4	0.41545125192221	0.510702824722949	#00BFC4
#F8766D	0.527456508668782	0.457445024577187	#F8766D
#619CFF	0.629886945404651	0.602125845622272	#619CFF
#619CFF	0.523064676706234	0.54149663098588	#619CFF
#00BA38	0.511722697585845	0.449998903419811	#00BA38
#00BFC4	0.621253787314166	0.602424499300376	#00BFC4
#F8766D	0.622718350515473	0.557654948335903	#F8766D
#00BA38	0.515303373129737	0.407823722224402	#00BA38
#B79F00	0.515924170885336	0.348240685991744	#B79F00
#F8766D	0.406317213270449	0.468121441682444	#F8766D
#00BA38	0.396569767999294	0.373492641568344	#00BA38
#F8766D	0.508762820803209	0.494308066672824	#F8766D
#00BA38	0.392484949678061	0.430833941257173	#00BA38
#00BFC4	0.410475038180278	0.528875757459045	#00BFC4
#619CFF	0.6216297515371	0.580880485930749	#619CFF
#F8766D	0.524212965597875	0.488594294410521	#F8766D
#619CFF	0.511364943613751	0.547675352989903	#619CFF
#F8766D	0.500438544377699	0.521794431832673	#F8766D
#F8766D	0.512899003638262	0.476542157636366	#F8766D
#00BFC4	0.49450385265711	0.549530722467408	#00BFC4
#00BA38	0.522213903620516	0.434495218130435	#00BA38
#00BA38	0.405739215450864	0.41474767123964	#00BA38
#F8766D	0.398155354277357	0.452506261731126	#F8766D
#F8766D	0.614175699271788	0.549706129974728	#F8766D
#00BFC4	0.509522462859087	0.499015418064949	#00BFC4
#619CFF	0.626884888343579	0.592206766747161	#619CFF
#00BFC4	0.40956278409343	0.47800757833414	#00BFC4
#00BA38	0.402059234835129	0.430297340782226	#00BA38
#00BFC4	0.520316090165967	0.448698597221021	#00BFC4
#619CFF	0.506664691423879	0.542792338265237	#619CFF
#619CFF	0.621806333092837	0.574278610446056	#619CFF
#00BA38	0.520269393448562	0.405004960919581	#00BA38
#F8766D	0.5090264108283	0.500871542270956	#F8766D
#619CFF	0.53376382847742	0.571007477704008	#619CFF
#00BA38	0.406778242511768	0.418065835677791	#00BA38
#619CFF	0.511379417817273	0.516011752787149	#619CFF
#00BFC4	0.521020088436097	0.52271551416765	#00BFC4
#00BFC4	0.507466512752534	0.540010913495224	#00BFC4
#F8766D	0.490034968984103	0.537570965126944	#F8766D
#F8766D	0.603505496913305	0.518585101141357	#F8766D
#F8766D	0.622207200600952	0.511491648387196	#F8766D
#619CFF	0.526524415988624	0.529189287156056	#619CFF
#00BA38	0.515094184055435	0.45031121466302	#00BA38
#00BA38	0.415209528242504	0.422562313906073	#00BA38
#00BA38	0.404003819931562	0.41670801436419	#00BA38
#619CFF	0.627993487152166	0.526081703167357	#619CFF
