colour	x	y	fill
#619CFF	0.525689089778953	0.483449422138799	#619CFF
#00BFC4	0.559493405425412	0.57951561167733	#00BFC4
#00BFC4	0.47862253891321	0.579968521718375	#00BFC4
#F8766D	0.477139975395385	0.390549502385168	#F8766D
#619CFF	0.558820853538753	0.403460080418654	#619CFF
#619CFF	0.512822909700626	0.470850459219814	#619CFF
#00BA38	0.503715083931522	0.53385844969887	#00BA38
#00BFC4	0.576959766436186	0.563032133333645	#00BFC4
#F8766D	0.555084260344921	0.36149214160368	#F8766D
#00BA38	0.483677178345651	0.495859124023638	#00BA38
#B79F00	0.461382537228222	0.402733218939921	#B79F00
#F8766D	0.476492577814103	0.458967063249538	#F8766D
#00BA38	0.464025914382641	0.528333284144602	#00BA38
#F8766D	0.51920288513381	0.414177442855638	#F8766D
#00BA38	0.489540774535334	0.56212398570853	#00BA38
#00BFC4	0.494542265137124	0.663875079370651	#00BFC4
#619CFF	0.56571147818771	0.419667346828694	#619CFF
#F8766D	0.49268134762019	0.410695647773593	#F8766D
#619CFF	0.533859655231778	0.487215622342598	#619CFF
#F8766D	0.541622392369429	0.431954182358821	#F8766D
#F8766D	0.505144555764426	0.34494649671955	#F8766D
#00BFC4	0.563475867251225	0.567546069192591	#00BFC4
#00BA38	0.482604550530918	0.552611161771857	#00BA38
#00BA38	0.463967834312226	0.585542161643151	#00BA38
#F8766D	0.48569399727792	0.500715348539314	#F8766D
#F8766D	0.567027658002989	0.392647321280911	#F8766D
#00BFC4	0.524183731611866	0.589426940740504	#00BFC4
#619CFF	0.560710651989048	0.412231476522737	#619CFF
#00BFC4	0.478837452191657	0.622736149179437	#00BFC4
#00BA38	0.474273501347437	0.568148523780098	#00BA38
#00BFC4	0.489539725859594	0.531301925213882	#00BFC4
#619CFF	0.54002383481668	0.495181558234729	#619CFF
#619CFF	0.562264895988408	0.379389203766324	#619CFF
#00BA38	0.474279658651961	0.473776986161498	#00BA38
#F8766D	0.521293436036476	0.4305341077568	#F8766D
#619CFF	0.503569780552692	0.414458731120284	#619CFF
#00BA38	0.463501688800306	0.590854798802641	#00BA38
#619CFF	0.52385860130209	0.487778124763553	#619CFF
#00BFC4	0.513159694054579	0.582773104307695	#00BFC4
#00BFC4	0.540858147312882	0.606533080607028	#00BFC4
#F8766D	0.564214013335321	0.470351805919709	#F8766D
#F8766D	0.574023216025396	0.385609626787606	#F8766D
#F8766D	0.539634259135126	0.298352919680796	#F8766D
#619CFF	0.504209269697903	0.500075954245885	#619CFF
#00BA38	0.497676401900189	0.505418081420722	#00BA38
#00BA38	0.451644127364918	0.596861706083605	#00BA38
#00BA38	0.466557190236025	0.555927257154396	#00BA38
#619CFF	0.537363710110673	0.385759537553084	#619CFF
#619CFF	0.547781715573249	0.459240592036402	#619CFF
#00BFC4	0.485157439240161	0.613797723793626	#00BFC4
#00BFC4	0.495303269101468	0.571840656857852	#00BFC4
#00BA38	0.511450050908788	0.539375958321717	#00BA38
#00BA38	0.470384081724567	0.55373067609908	#00BA38
#00BFC4	0.535975816846111	0.59560036502884	#00BFC4
#F8766D	0.480121294652601	0.328733702889658	#F8766D
#00BFC4	0.536801266182235	0.598745765093021	#00BFC4
#00BFC4	0.531058287120482	0.560977561966378	#00BFC4
#B79F00	0.442113277786944	0.379687724153085	#B79F00
#00BFC4	0.541815260430287	0.563923617987056	#00BFC4
#00BA38	0.446591567437578	0.604433010126711	#00BA38
#F8766D	0.496885126078493	0.409081902603261	#F8766D
#00BA38	0.451192379805406	0.630225302058559	#00BA38
#00BFC4	0.54860632039222	0.384992041595767	#00BFC4
#B79F00	0.336975905137001	0.375739241990221	#B79F00
#00BFC4	0.518324606417404	0.510926579547591	#00BFC4
#00BA38	0.505287542511819	0.548015708798287	#00BA38
#F8766D	0.576303306621174	0.345574441516232	#F8766D
#F8766D	0.506185155505329	0.383728124396275	#F8766D
#619CFF	0.488069702794034	0.538082282978532	#619CFF
#619CFF	0.521587050577766	0.428653259239472	#619CFF
#00BFC4	0.596073422572447	0.556410099388256	#00BFC4
#619CFF	0.550568022442261	0.31952065882508	#619CFF
#00BA38	0.505564826741875	0.538260232104129	#00BA38
#619CFF	0.554214056170492	0.442435134517679	#619CFF
#00BFC4	0.575289793544473	0.53108957532392	#00BFC4
#F8766D	0.506604243555628	0.391023460651747	#F8766D
#00BFC4	0.55882758018142	0.578414423375573	#00BFC4
#00BFC4	0.505479621954578	0.555972878340451	#00BFC4
#F8766D	0.550988766559121	0.442163405928535	#F8766D
#F8766D	0.544069503188067	0.438991754779121	#F8766D
#F8766D	0.52362820842775	0.34669698783073	#F8766D
#619CFF	0.509209260302598	0.499208981367491	#619CFF
#F8766D	0.511479177891669	0.356927630300686	#F8766D
#F8766D	0.517526115692257	0.409048770533617	#F8766D
#619CFF	0.512203306324287	0.448838454318744	#619CFF
#00BA38	0.448490062942047	0.583181888326892	#00BA38
#00BFC4	0.541471427278789	0.58468798291468	#00BFC4
#00BA38	0.512770488637514	0.477601215955615	#00BA38
#619CFF	0.614559480734006	0.467313271579678	#619CFF
#B79F00	0.387511486651873	0.361393717669341	#B79F00
#B79F00	0.327468168411982	0.294775915612192	#B79F00
#00BA38	0.573344845244206	0.412550081771824	#00BA38
#619CFF	0.522462310206928	0.506058922913689	#619CFF
#00BFC4	0.515205299968475	0.574640139133836	#00BFC4
#F8766D	0.4945751668576	0.391843726907875	#F8766D
#00BFC4	0.531447909777905	0.642096777618589	#00BFC4
#619CFF	0.567332066949927	0.42238807584898	#619CFF
#F8766D	0.549795331465995	0.361840762065301	#F8766D
#00BFC4	0.521907504620485	0.532701276150523	#00BFC4
#F8766D	0.436750649905365	0.407976394390868	#F8766D
#00BFC4	0.542670184082475	0.562336245974962	#00BFC4
#00BFC4	0.533586581939302	0.577925805120157	#00BFC4
#F8766D	0.453857478888789	0.459257385992496	#F8766D
#00BFC4	0.484119811610634	0.516570718652453	#00BFC4
#00BFC4	0.544031750171441	0.506102560643516	#00BFC4
