colour	x	y	fill
#619CFF	0.599207691779308	0.441977369054662	#619CFF
#00BFC4	0.623887653063671	0.506770404549871	#00BFC4
#00BFC4	0.555404002829818	0.399110992850177	#00BFC4
#F8766D	0.461324842059135	0.443032746717543	#F8766D
#619CFF	0.629841062526196	0.499178217128608	#619CFF
#619CFF	0.568374822262959	0.447164933639077	#619CFF
#00BA38	0.499372474279552	0.529924979770787	#00BA38
#00BFC4	0.705000600348883	0.571555738842304	#00BFC4
#F8766D	0.546081440426279	0.519655456448533	#F8766D
#00BA38	0.451074122128951	0.525336482340904	#00BA38
#B79F00	0.345323179416944	0.51650902761167	#B79F00
#F8766D	0.418057949671209	0.397744379484567	#F8766D
#00BA38	0.355056815837134	0.480008299086546	#00BA38
#F8766D	0.452540279915332	0.480800755176392	#F8766D
#00BA38	0.411801884937666	0.478562009806767	#00BA38
#00BFC4	0.608556409225628	0.431245918587966	#00BFC4
#619CFF	0.598546461314603	0.53223569767715	#619CFF
#F8766D	0.490308333998389	0.445258812226187	#F8766D
#619CFF	0.549898246497487	0.477840811565607	#619CFF
#F8766D	0.462322575171681	0.495708938613415	#F8766D
#F8766D	0.406480833508252	0.455284833894982	#F8766D
#00BFC4	0.552959215330712	0.543275782257253	#00BFC4
#00BA38	0.528625238427116	0.517165768344518	#00BA38
#00BA38	0.451481891200134	0.461001332580078	#00BA38
#F8766D	0.407679428642439	0.4367301625575	#F8766D
#F8766D	0.534309969727757	0.553128631815846	#F8766D
#00BFC4	0.56831438846429	0.534329121785017	#00BFC4
#619CFF	0.618450570265822	0.512983342027943	#619CFF
#00BFC4	0.538115736975629	0.439638038193414	#00BFC4
#00BA38	0.442811093133693	0.45804495446546	#00BA38
#00BFC4	0.521543480060616	0.509229181514926	#00BFC4
#619CFF	0.537257153777472	0.493462697388406	#619CFF
#619CFF	0.568389491629551	0.521232704987204	#619CFF
#00BA38	0.449281137265885	0.507456088301559	#00BA38
#F8766D	0.468966084285618	0.482975001928964	#F8766D
#619CFF	0.588412446642051	0.392024865752699	#619CFF
#00BA38	0.460554397704537	0.458989996254355	#00BA38
#619CFF	0.524114542607233	0.490218326345992	#619CFF
#00BFC4	0.616986842569408	0.495759811263347	#00BFC4
#00BFC4	0.606969164025399	0.528946981798343	#00BFC4
#F8766D	0.469318276493182	0.526791069104602	#F8766D
#F8766D	0.473325333765341	0.588138461967954	#F8766D
#F8766D	0.466920554428359	0.518106043132257	#F8766D
#619CFF	0.586494780133352	0.453249264816782	#619CFF
#00BA38	0.491578275267155	0.512540712261171	#00BA38
#00BA38	0.49240886737899	0.439232071821305	#00BA38
#00BA38	0.429549514647108	0.454699711738875	#00BA38
#619CFF	0.550419144055779	0.527261387655822	#619CFF
#619CFF	0.526075626414165	0.478121922719867	#619CFF
#00BFC4	0.502631085132549	0.457475277998307	#00BFC4
#00BFC4	0.577889492617138	0.505278767592764	#00BFC4
#00BA38	0.505813610926095	0.532763875981036	#00BA38
#00BA38	0.430550978851826	0.453998789820281	#00BA38
